year,title,review
2014,Daily User review,Its what you pay for a entry level vehicle. Very comfortable and useful in tight city areas but not recommended for long distance journeys. Practically good for errands and daily tasks.
2014,A good car for new married couple an fresh graduat,"I've been using this car daily, almost 150k millage now. I havent facing any major issues, service done on time at Perodua Services Centre. The car is really sturdy, although it might not have the power, it is suffice for daily ride in the city or going to the supermarket. Handling is good for a small car but dont expect to drive more that 120km/h comfortably though. I believe that for this car, if you always discipline on the service time, keep it standard, always check for wear and tear parts on every services occasion, it can last for 10 more years."
2014,Really good car,Best car for ehailing. Petrol saving
2014,"Eco-friendly, Budget, Easy to park","One word for Perodua Axia ""Worth"""
2014,Really Economic Car,"For me, this car is the best to get from point A-B. Suits for daily working use"
2014,Economic Style and User Friendly,"Save Fuel & Easy Handling , comfort level medium and cabin enough space."
2015,Agile + Not enough but Fun,"Agile car that still give confidence to throw car around corners (maybe just me). Not enough power is common complaints, sometimes throttle responses lag terribly. But if properly fell the car response, throttle become light & immediate power. Not a car for highway/long distance but a racing car (maybe for me) at backroad/village road"
2015,Overall Very Good,"The car is pretty small and short so it's easy to drive anywhere! Parking, narrow road, sensor and others are pretty good too! Another thing is, it's fuel saving! That's the point!"
2015,Overall the car is good and economic,have been using this car over 4 years so far everything is good except the engine (power/cc).
2015,Small car less maintenance but power no compromise,"Im own perodua axia on 2015.Engine pickup very good during overtake other vehicle example lorry,bus and car.Safety features im satisfied even the price is the middle category but u can get 2 Srs Airbag,Abs,Ebd and etc.Until today July 2020,this car not even give major problem issue.Only wear and tear parts yet.So i hope my review can help others to buy this car."
2015,The low price guarantee,"My experience for this car is very cheap maintenance every month ,easy for finding spare parts too"
2015,Economic car and nice,"Fuel saver..city car,easy to handling and fun.suitable for 1st women car."
2015,Low Fuel & Maintenance,"Super saver for fuel consumption ( 5 speed manual). Low maintenance cost. Great car for city. I have no issue for long distance. Cons : having issue with rear wheel bearing. Mine already clocked at 250,000km since this is my travel partner for travelling outstation/work/balik kampung/anywhere."
2015,Cheap budget car for young adult,"Less petrol usage, low maintenance and perfect for someone who is only starting to work. It was my first car after graduating, and compared to other friends I saved a lot of money not to buy expensive ones straight away even though I was eligible to do it. To me, it was a good decision to be made back in 2015."
2016,Best budget car,"After four years, 80k km, only spend on regular service. Affordable, good FC, sufficient enough for city drive. Pickup a bit slow but still can hit up to 130km/h although not recommended, so advice to other better performance car driver dont look down at this car. Overall match the price tag"
